Question,Answer,Category,Language
hello,"Namaste! Main AgriSmart AI hoon. Main kheti se jude sawalon me aapki madad kar sakta hoon."
what is wheat,"Wheat is a major Rabi crop grown during winter."
गेहूं क्या है,"गेहूं एक प्रमुख रबी फसल है।"
How to grow wheat?,"Use certified seeds, prepare the field well, sow at the recommended time, and irrigate regularly.",Wheat,English
Best fertilizer for wheat?,Apply fertilizer based on soil testing. A balanced NPK application is recommended.,Wheat,English
गेहूं की बुवाई कब करें?,उत्तर भारत में सामान्यतः नवंबर में बुवाई की जाती है।,Wheat,Hindi
How often should rice be irrigated?,Maintain appropriate water levels depending on the crop stage.,Rice,English
धान में पीले पत्ते क्यों होते हैं?,"यह पोषक तत्वों की कमी, रोग या जल प्रबंधन की समस्या के कारण हो सकता है।",Rice,Hindi
What is drip irrigation?,"Drip irrigation supplies water directly to plant roots, reducing water wastage.",Irrigation,English
How to improve soil fertility?,"Use organic manure, compost, crop rotation, and soil-test-based fertilizers.",Soil,English
टमाटर में झुलसा रोग का उपचार?,रोगग्रस्त पत्तियाँ हटाएँ और कृषि विशेषज्ञ की सलाह अनुसार फफूंदनाशक का उपयोग करें।,Tomato Disease,Hindi
How to control aphids?,Use neem-based products or recommended insecticides as per local agricultural guidelines.,Pest,English
What is PM-KISAN?,PM-KISAN is a Government of India income support scheme for eligible farmers.,Government Scheme,English
Best season for mustard?,Mustard is generally sown during the Rabi season.,Mustard,English
प्याज की सिंचाई कितनी बार करें?,मिट्टी और मौसम के अनुसार नियमित अंतराल पर सिंचाई करें।,Onion,Hindi
How to increase crop yield?,"Use quality seeds, balanced nutrition, timely irrigation, and pest management.",General,English
How to identify nitrogen deficiency?,Yellowing of older leaves is a common symptom of nitrogen deficiency.,Nutrients,English
Organic farming benefits?,"Improves soil health, biodiversity, and reduces chemical use.",Organic Farming,English
What is wheat?,"wheat,rabi,crop",Wheat is a major Rabi crop grown during the winter season.,Wheat,English,"crop,basic"
When should wheat be sown?,"wheat,sowing,time",In North India wheat is usually sown from October to November.,Wheat,English,"sowing"
Best fertilizer for wheat?,"wheat,npk,fertilizer",Apply fertilizer based on soil testing. Balanced NPK application is generally recommended.,Wheat,English,"fertilizer"
How much water does wheat need?,"wheat,irrigation",Wheat generally requires 4–6 irrigations depending on soil and climate.,Wheat,English,"irrigation"
What is the ideal temperature for wheat?,"wheat,temperature",The ideal temperature for wheat growth is about 15–25°C.,Wheat,English,"weather"
How to increase wheat yield?,"wheat,yield",Use certified seeds, balanced fertilizers, timely irrigation, and pest management.,Wheat,English,"yield"
Common diseases in wheat?,"wheat,disease",Rust, smut, and powdery mildew are common wheat diseases.,Wheat,English,"disease"
How to control wheat rust?,"wheat,rust",Use resistant varieties and recommended fungicides after consulting local agricultural experts.,Wheat,English,"disease"
What is rice?,"rice,kharif,crop",Rice is a major Kharif crop requiring warm and humid conditions.,Rice,English,"crop,basic"
Best season for rice?,"rice,season",Rice is mainly grown during the Kharif season in India.,Rice,English,"season"
How often should rice be irrigated?,"rice,irrigation",Maintain suitable water levels according to the crop growth stage.,Rice,English,"irrigation"
Best fertilizer for rice?,"rice,fertilizer",Use fertilizers based on soil testing. Balanced nutrient management is recommended.,Rice,English,"fertilizer"
Why do rice leaves turn yellow?,"rice,yellow leaves",Yellow leaves may indicate nutrient deficiency, disease, or water management issues.,Rice,English,"problem"
How to improve soil fertility?,"soil,fertility",Use compost, organic manure, crop rotation, and soil-test-based fertilization.,Soil,English,"soil"
What is drip irrigation?,"drip,irrigation",Drip irrigation delivers water directly to plant roots, reducing water wastage.,Irrigation,English,"water"
Benefits of drip irrigation?,"drip,benefits",It saves water, reduces weed growth, and improves fertilizer efficiency.,Irrigation,English,"water"
What is sprinkler irrigation?,"sprinkler,irrigation",Sprinkler irrigation distributes water like rainfall over the crop field.,Irrigation,English,"water"
What is organic farming?,"organic,farming",Organic farming avoids synthetic chemicals and emphasizes natural inputs.,Organic Farming,English,"organic"
Benefits of organic farming?,"organic,benefits",It improves soil health, biodiversity, and reduces chemical use.,Organic Farming,English,"organic"
What is compost?,"compost",Compost is decomposed organic matter used to improve soil fertility.,Soil,English,"organic"
What is vermicompost?,"vermicompost",Vermicompost is nutrient-rich compost produced using earthworms.,Soil,English,"organic"
How to control aphids?,"aphids,pest",Use neem-based products or approved insecticides as recommended by agricultural experts.,Pest,English,"pest"
What are aphids?,"aphids",Aphids are small sap-sucking insects that damage crops.,Pest,English,"pest"
How to identify nitrogen deficiency?,"nitrogen,deficiency",Yellowing of older leaves is a common symptom of nitrogen deficiency.,Nutrients,English,"nutrients"
What is urea?,"urea,fertilizer",Urea is a nitrogen-rich fertilizer commonly used in agriculture.,Fertilizer,English,"fertilizer"
What is DAP?,"dap,fertilizer",DAP (Diammonium Phosphate) supplies phosphorus and nitrogen to crops.,Fertilizer,English,"fertilizer"
What is NPK fertilizer?,"npk,fertilizer",NPK fertilizer provides nitrogen, phosphorus, and potassium.,Fertilizer,English,"fertilizer"
What is soil testing?,"soil,test",Soil testing determines nutrient status and soil pH to guide fertilizer use.,Soil,English,"soil"
Why is soil testing important?,"soil,test",It helps apply the correct fertilizer in the right quantity.,Soil,English,"soil"
What is crop rotation?,"crop,rotation",Crop rotation means growing different crops in sequence to improve soil health.,Soil,English,"soil"
Benefits of crop rotation?,"crop,rotation",It reduces pests, improves fertility, and increases productivity.,Soil,English,"soil"
What is mulching?,"mulching",Mulching covers soil to conserve moisture and suppress weeds.,General,English,"water"
Benefits of mulching?,"mulching",Mulching conserves moisture and improves soil temperature.,General,English,"soil"
What is PM-KISAN?,"pm-kisan",PM-KISAN is an income support scheme for eligible farmers in India.,Government Scheme,English,"scheme"
What is KCC?,"kisan credit card",Kisan Credit Card provides farmers with easy access to agricultural credit.,Government Scheme,English,"scheme"
What is mustard?,"mustard",Mustard is an important Rabi oilseed crop.,Mustard,English,"crop"
Best season for mustard?,"mustard,season",Mustard is generally sown during the Rabi season.,Mustard,English,"season"
How to grow tomato?,"tomato",Grow tomato using healthy seedlings, fertile soil, and regular irrigation.,Tomato,English,"vegetable"
Common tomato disease?,"tomato,disease",Early blight and late blight are common tomato diseases.,Tomato Disease,English,"disease"
How to prevent tomato blight?,"tomato,blight",Use disease-free seedlings, crop rotation, and approved fungicides when needed.,Tomato Disease,English,"disease"
What is maize?,"maize",Maize is an important cereal crop grown in Kharif and some Rabi regions.,Maize,English,"crop"
Best fertilizer for maize?,"maize,fertilizer",Apply fertilizers according to soil test recommendations.,Maize,English,"fertilizer"
How to control weeds?,"weed",Use timely weeding, mulching, or approved herbicides where appropriate.,General,English,"weed"
What is integrated pest management?,"ipm",Integrated Pest Management combines biological, cultural, and chemical methods to manage pests.,Pest,English,"IPM"
Why use certified seeds?,"certified,seeds",Certified seeds improve germination, yield, and disease resistance.,General,English,"seed"
What is seed treatment?,"seed,treatment",Seed treatment protects seeds from soil-borne diseases and pests.,Seed,English,"seed"
Why is irrigation important?,"irrigation",Proper irrigation ensures healthy crop growth and better yields.,Irrigation,English,"water"
What causes waterlogging?,"waterlogging",Excess water and poor drainage can cause waterlogging.,Irrigation,English,"water"
How to prevent waterlogging?,"waterlogging",Maintain field drainage and avoid over-irrigation.,Irrigation,English,"water"
What is paddy?,"paddy,rice",Paddy refers to rice grown in the field before processing.,Rice,English,"crop"
How to prepare land for rice?,"rice,land preparation",Plough the field thoroughly and level it before transplanting or sowing.,Rice,English,"land"
When should rice be transplanted?,"rice,transplanting",Rice is generally transplanted 20–30 days after nursery sowing.,Rice,English,"transplanting"
How to reduce water use in rice?,"rice,water",Use Alternate Wetting and Drying (AWD) where suitable to save water.,Rice,English,"irrigation"
Best pH for rice cultivation?,"rice,soil,pH",Rice grows well in soil with a pH of about 5.5–7.0.,Rice,English,"soil"
What is maize?,"maize,corn",Maize is an important cereal crop grown for food, feed, and industrial use.,Maize,English,"crop"
When should maize be sown?,"maize,sowing",Maize sowing depends on the season and local climate.,Maize,English,"sowing"
Best fertilizer for maize?,"maize,fertilizer",Apply fertilizers based on soil testing and crop requirements.,Maize,English,"fertilizer"
How to increase maize yield?,"maize,yield",Use quality seeds, balanced nutrients, and proper irrigation.,Maize,English,"yield"
Common pests in maize?,"maize,pest",Fall armyworm and stem borers are common maize pests.,Maize,English,"pest"
What is sugarcane?,"sugarcane",Sugarcane is a commercial crop used mainly for sugar production.,Sugarcane,English,"crop"
Best season for sugarcane?,"sugarcane,season",Sugarcane planting time varies by region and climate.,Sugarcane,English,"season"
How to irrigate sugarcane?,"sugarcane,irrigation",Provide irrigation according to soil moisture and crop stage.,Sugarcane,English,"irrigation"
Best fertilizer for sugarcane?,"sugarcane,fertilizer",Use fertilizer according to soil-test recommendations.,Sugarcane,English,"fertilizer"
Common diseases in sugarcane?,"sugarcane,disease",Red rot and smut are important sugarcane diseases.,Sugarcane,English,"disease"
What is potato?,"potato",Potato is an important vegetable crop grown during the Rabi season in many regions.,Potato,English,"crop"
Best season for potato?,"potato,season",Potato is generally planted in the cool season.,Potato,English,"season"
How to grow potato?,"potato,growing",Use healthy seed tubers and well-drained fertile soil.,Potato,English,"cultivation"
Best fertilizer for potato?,"potato,fertilizer",Apply fertilizers based on soil testing and crop needs.,Potato,English,"fertilizer"
Common potato diseases?,"potato,disease",Late blight and early blight are common potato diseases.,Potato,English,"disease"
What is onion?,"onion",Onion is a widely grown vegetable crop.,Onion,English,"crop"
How often should onions be irrigated?,"onion,irrigation",Irrigate based on soil moisture and crop growth stage.,Onion,English,"irrigation"
Best fertilizer for onion?,"onion,fertilizer",Use balanced nutrients according to soil-test recommendations.,Onion,English,"fertilizer"
Why do onion leaves turn yellow?,"onion,yellow",Yellowing may occur due to nutrient deficiency, disease, or water stress.,Onion,English,"problem"
Common onion diseases?,"onion,disease",Purple blotch and downy mildew are common onion diseases.,Onion,English,"disease"
What is cotton?,"cotton",Cotton is an important fiber crop.,Cotton,English,"crop"
Best season for cotton?,"cotton,season",Cotton is generally grown during the Kharif season in many regions.,Cotton,English,"season"
Best fertilizer for cotton?,"cotton,fertilizer",Use fertilizers according to soil-test recommendations.,Cotton,English,"fertilizer"
Common cotton pests?,"cotton,pest",Pink bollworm and whitefly are common cotton pests.,Cotton,English,"pest"
How to control whiteflies?,"whitefly,pest",Use integrated pest management and approved control measures as recommended locally.,Cotton,English,"IPM"
What is soybean?,"soybean",Soybean is an important oilseed and protein-rich crop.,Soybean,English,"crop"
Best season for soybean?,"soybean,season",Soybean is generally cultivated during the Kharif season.,Soybean,English,"season"
Best fertilizer for soybean?,"soybean,fertilizer",Apply nutrients based on soil testing and crop requirements.,Soybean,English,"fertilizer"
Common soybean diseases?,"soybean,disease",Rust and bacterial pustule are common soybean diseases.,Soybean,English,"disease"
What is chickpea?,"chickpea",Chickpea is an important pulse crop grown during the Rabi season.,Pulse,English,"crop"
Best fertilizer for chickpea?,"chickpea,fertilizer",Use balanced fertilization according to soil-test recommendations.,Pulse,English,"fertilizer"
Common chickpea disease?,"chickpea,disease",Fusarium wilt is a major disease of chickpea.,Pulse,English,"disease"
What is millet?,"millet",Millets are nutritious cereals suitable for dryland farming.,Millet,English,"crop"
Benefits of millet farming?,"millet,benefits",Millets require less water and are suitable for many rainfed areas.,Millet,English,"benefits"
What is sunflower?,"sunflower",Sunflower is an important oilseed crop.,Sunflower,English,"crop"
Best fertilizer for sunflower?,"sunflower,fertilizer",Apply nutrients according to soil-test recommendations.,Sunflower,English,"fertilizer"
Common sunflower disease?,"sunflower,disease",Downy mildew is a common sunflower disease.,Sunflower,English,"disease"
What is groundnut?,"groundnut",Groundnut is an important oilseed crop also known as peanut.,Groundnut,English,"crop"
Best season for groundnut?,"groundnut,season",Groundnut is commonly grown during the Kharif season.,Groundnut,English,"season"
Best fertilizer for groundnut?,"groundnut,fertilizer",Use balanced nutrients according to soil-test recommendations.,Groundnut,English,"fertilizer"
Common groundnut diseases?,"groundnut,disease",Leaf spot and rust are common groundnut diseases.,Groundnut,English,"disease"
What is zinc deficiency?,"zinc,deficiency",Zinc deficiency may reduce crop growth and cause chlorosis in some crops.,Nutrients,English,"nutrient"
What is phosphorus deficiency?,"phosphorus,deficiency",Phosphorus deficiency can reduce root growth and plant vigor.,Nutrients,English,"nutrient"
What is potassium deficiency?,"potassium,deficiency",Potassium deficiency may cause yellowing or scorching at leaf margins.,Nutrients,English,"nutrient"
Why is balanced fertilization important?,"balanced,fertilizer",Balanced fertilization supports healthy crop growth and efficient nutrient use.,Fertilizer,English,"fertilizer"
गेहूं में कौन सी खाद डालें?,"गेहूं,खाद,यूरिया","मिट्टी की जाँच के आधार पर संतुलित NPK उर्वरक का उपयोग करें।",Wheat,Hindi,"fertilizer"
धान की बुवाई कब करें?,"धान,बुवाई","क्षेत्र और मौसम के अनुसार सामान्यतः जून से जुलाई में बुवाई की जाती है।",Rice,Hindi,"sowing"
धान में पानी कितनी बार देना चाहिए?,"धान,सिंचाई","फसल की अवस्था और मिट्टी की नमी के अनुसार सिंचाई करें।",Rice,Hindi,"irrigation"
मक्का की अच्छी किस्म कौन सी है?,"मक्का,बीज","अपने राज्य के कृषि विभाग द्वारा अनुशंसित उन्नत किस्म का चयन करें।",Maize,Hindi,"seed"
टमाटर में झुलसा रोग का उपचार क्या है?,"टमाटर,झुलसा","रोगग्रस्त पत्तियाँ हटाएँ और कृषि विशेषज्ञ की सलाह अनुसार फफूंदनाशक का उपयोग करें।",Tomato,Hindi,"disease"
प्याज की सिंचाई कितनी बार करें?,"प्याज,सिंचाई","मिट्टी और मौसम के अनुसार नियमित अंतराल पर सिंचाई करें।",Onion,Hindi,"irrigation"
सरसों की बुवाई कब करें?,"सरसों,बुवाई","सरसों की बुवाई सामान्यतः अक्टूबर से नवंबर के बीच की जाती है।",Mustard,Hindi,"sowing"
गन्ने में लाल सड़न रोग क्या है?,"गन्ना,रोग","लाल सड़न गन्ने का प्रमुख फफूंदजनित रोग है।",Sugarcane,Hindi,"disease"
जैविक खेती क्या है?,"जैविक खेती","जैविक खेती में रासायनिक उर्वरकों और कीटनाशकों का न्यूनतम उपयोग किया जाता है।",Organic Farming,Hindi,"organic"
ड्रिप सिंचाई क्या है?,"ड्रिप,सिंचाई","ड्रिप सिंचाई में पानी सीधे पौधों की जड़ों तक पहुँचाया जाता है।",Irrigation,Hindi,"water"
नीम का उपयोग कीट नियंत्रण में कैसे करें?,"नीम,कीट","नीम आधारित उत्पाद कई कीटों के नियंत्रण में सहायक होते हैं।",Pest,Hindi,"organic"
मिट्टी की जाँच क्यों आवश्यक है?,"मिट्टी,जाँच","मिट्टी की जाँच से पोषक तत्वों की जानकारी मिलती है और सही उर्वरक चयन में सहायता मिलती है।",Soil,Hindi,"soil"
फसल चक्र क्या है?,"फसल चक्र","एक ही खेत में अलग-अलग मौसम में अलग फसलें उगाने को फसल चक्र कहते हैं।",Soil,Hindi,"rotation"
पीएम किसान योजना क्या है?,"पीएम किसान","यह पात्र किसानों के लिए आय सहायता योजना है।",Government Scheme,Hindi,"scheme"
यूरिया कब डालना चाहिए?,"यूरिया","यूरिया का उपयोग फसल की अवस्था और मिट्टी की जाँच के अनुसार करें।",Fertilizer,Hindi,"fertilizer"
What is banana?,"banana,fruit",Banana is a tropical fruit crop grown in warm and humid climates.,Banana,English,"fruit"
Best fertilizer for banana?,"banana,fertilizer",Apply fertilizers according to soil-test recommendations and crop stage.,Banana,English,"fertilizer"
Common banana disease?,"banana,disease",Panama wilt and Sigatoka leaf spot are common banana diseases.,Banana,English,"disease"
How to increase banana yield?,"banana,yield",Use healthy suckers, balanced nutrition, timely irrigation, and pest management.,Banana,English,"yield"
What is mango?,"mango,fruit",Mango is a major tropical fruit crop in India.,Mango,English,"fruit"
Common mango disease?,"mango,disease",Powdery mildew and anthracnose are common mango diseases.,Mango,English,"disease"
How to control mango hoppers?,"mango,pest",Monitor orchards regularly and use approved IPM practices when required.,Mango,English,"IPM"
Best fertilizer for mango?,"mango,fertilizer",Apply nutrients according to tree age and soil-test recommendations.,Mango,English,"fertilizer"
What is guava?,"guava,fruit",Guava is a nutritious fruit crop suitable for tropical and subtropical regions.,Guava,English,"fruit"
Common guava disease?,"guava,disease",Wilt and anthracnose are common diseases in guava.,Guava,English,"disease"
What is papaya?,"papaya,fruit",Papaya is a fast-growing tropical fruit crop.,Papaya,English,"fruit"
Common papaya disease?,"papaya,disease",Papaya ringspot virus is a major disease affecting papaya.,Papaya,English,"disease"
What is cabbage?,"cabbage,vegetable",Cabbage is a cool-season leafy vegetable crop.,Cabbage,English,"vegetable"
Common cabbage pest?,"cabbage,pest",Diamondback moth is a common cabbage pest.,Cabbage,English,"pest"
What is cauliflower?,"cauliflower,vegetable",Cauliflower is a cool-season vegetable grown for its edible curd.,Cauliflower,English,"vegetable"
Best fertilizer for cauliflower?,"cauliflower,fertilizer",Use balanced nutrients according to soil testing.,Cauliflower,English,"fertilizer"
What is brinjal?,"brinjal,eggplant",Brinjal is a widely cultivated vegetable crop.,Brinjal,English,"vegetable"
Common brinjal pest?,"brinjal,fruit borer",Fruit and shoot borer is a major pest of brinjal.,Brinjal,English,"pest"
How to grow chilli?,"chilli,growing",Use healthy seedlings, fertile soil, and proper irrigation.,Chilli,English,"vegetable"
Common chilli disease?,"chilli,disease",Leaf curl virus is a common chilli disease.,Chilli,English,"disease"
What is cucumber?,"cucumber",Cucumber is a warm-season vegetable crop.,Cucumber,English,"vegetable"
How often should cucumber be irrigated?,"cucumber,irrigation",Irrigate regularly while avoiding waterlogging.,Cucumber,English,"irrigation"
What is watermelon?,"watermelon",Watermelon is a summer fruit crop requiring warm weather.,Watermelon,English,"fruit"
Best season for watermelon?,"watermelon,season",Watermelon is generally grown during spring and summer.,Watermelon,English,"season"
What is muskmelon?,"muskmelon",Muskmelon is a warm-season fruit crop.,Muskmelon,English,"fruit"
Common diseases in cucurbits?,"cucurbits,disease",Powdery mildew and downy mildew are common diseases.,Vegetables,English,"disease"
How to prevent fungal diseases?,"fungus,disease",Use disease-free seeds, crop rotation, and recommended fungicides when necessary.,General,English,"disease"
Why do leaves curl?,"leaf curl",Leaf curl may result from viruses, pests, or environmental stress.,General,English,"problem"
What causes flower drop?,"flower drop",Flower drop may occur due to temperature stress, nutrient imbalance, or poor pollination.,General,English,"problem"
What is climate-smart agriculture?,"climate-smart",Climate-smart agriculture improves productivity while adapting to climate change.,General,English,"climate"
How does rainfall affect crops?,"rainfall",Excess or insufficient rainfall can reduce crop growth and yield.,Weather,English,"weather"
What is drought?,"drought",Drought is a prolonged period of insufficient rainfall affecting agriculture.,Weather,English,"weather"
How to manage drought?,"drought,management",Use drought-tolerant varieties, mulching, and efficient irrigation practices.,Weather,English,"weather"
What is hail damage?,"hail",Hail can physically damage crops and reduce yield.,Weather,English,"weather"
How to protect crops from frost?,"frost",Use irrigation, mulching, or protective covers where appropriate.,Weather,English,"weather"
Why monitor weather forecasts?,"weather,forecast",Weather forecasts help farmers plan irrigation, spraying, and harvesting.,Weather,English,"weather"
When should pesticides be sprayed?,"spraying",Spray pesticides only when required and follow label instructions and local recommendations.,Pest,English,"safety"
Can pesticides be mixed?,"pesticides,mixing",Mix pesticides only if the product labels permit compatibility.,Pest,English,"safety"
How to store fertilizers?,"fertilizer,storage",Store fertilizers in a dry, cool place away from moisture.,Fertilizer,English,"storage"
How to store seeds?,"seed,storage",Store seeds in clean, dry, and airtight containers under cool conditions.,Seed,English,"storage"
What is seed germination?,"seed,germination",Seed germination is the process by which a seed begins to grow into a plant.,Seed,English,"seed"
How to improve seed germination?,"seed,germination",Use quality seeds, proper moisture, and suitable temperature.,Seed,English,"seed"
What is greenhouse farming?,"greenhouse",Greenhouse farming protects crops from adverse weather and allows controlled cultivation.,Protected Cultivation,English,"greenhouse"
Benefits of greenhouse farming?,"greenhouse,benefits",It improves productivity and enables year-round cultivation for suitable crops.,Protected Cultivation,English,"greenhouse"
What is polyhouse farming?,"polyhouse",Polyhouse farming provides a controlled environment for crop production.,Protected Cultivation,English,"polyhouse"
What is PMFBY?,"pmfby,crop insurance",Pradhan Mantri Fasal Bima Yojana provides crop insurance to eligible farmers.,Government Scheme,English,"scheme"
What is e-NAM?,"eNAM,market",e-NAM is an electronic platform connecting agricultural markets across India.,Government Scheme,English,"scheme"
What is Soil Health Card?,"soil health card",The Soil Health Card provides information about soil nutrients and fertilizer recommendations.,Government Scheme,English,"scheme"
Why is farm record keeping important?,"farm records",Maintaining farm records helps monitor costs, production, and profitability.,Farm Management,English,"management"
How to prepare soil before sowing?,"soil preparation,field",Prepare the field by ploughing, leveling, and adding organic manure if needed.,Soil,English,"soil"
Best time to irrigate crops?,"irrigation,time",Early morning or evening irrigation helps reduce water loss.,Irrigation,English,"water"
What causes leaf yellowing?,"yellow leaves,nutrients",Leaf yellowing may result from nutrient deficiency, pests, diseases, or excess water.,General,English,"problem"
How to prevent soil erosion?,"soil erosion",Use cover crops, contour farming, and mulching to reduce soil erosion.,Soil,English,"soil"
What is biofertilizer?,"biofertilizer",Biofertilizers contain beneficial microorganisms that improve nutrient availability.,Fertilizer,English,"organic"
Benefits of crop diversification?,"crop diversification",Growing different crops reduces risk and improves soil health.,General,English,"management"
How to conserve rainwater on farms?,"rainwater harvesting",Construct farm ponds and practice rainwater harvesting to store water.,Water Management,English,"water"
What is weed management?,"weed management",Weed management helps reduce competition for nutrients, sunlight, and water.,General,English,"weed"
Best way to improve soil organic matter?,"organic matter",Add compost, farmyard manure, and grow green manure crops.,Soil,English,"soil"
How to reduce fertilizer loss?,"fertilizer efficiency",Apply fertilizers at the right time and in the recommended quantity.,Fertilizer,English,"fertilizer"
What is green manure?,"green manure",Green manure crops are grown and incorporated into the soil to improve fertility.,Soil,English,"organic"
How to protect crops from heat?,"heat stress",Provide timely irrigation and use mulching to reduce heat stress.,Weather,English,"climate"
Common symptoms of potassium deficiency?,"potassium deficiency",Leaf margins may turn yellow or brown and plant growth may slow.,Nutrients,English,"nutrient"
Why is balanced irrigation important?,"balanced irrigation",Too much or too little water can reduce crop yield and quality.,Irrigation,English,"water"
How to improve water use efficiency?,"water efficiency",Use drip irrigation, mulching, and proper scheduling.,Irrigation,English,"water"
गेहूं में सिंचाई कब करनी चाहिए?,"गेहूं,सिंचाई",फसल की अवस्था और मिट्टी की नमी के अनुसार समय पर सिंचाई करें।,Wheat,Hindi,"irrigation"
धान में खरपतवार कैसे नियंत्रित करें?,"धान,खरपतवार",समय पर निराई करें तथा आवश्यकता होने पर अनुशंसित खरपतवारनाशी का उपयोग करें।,Rice,Hindi,"weed"
मक्का की फसल में कीट नियंत्रण कैसे करें?,"मक्का,कीट",नियमित निरीक्षण करें और आवश्यकता होने पर अनुशंसित नियंत्रण उपाय अपनाएँ।,Maize,Hindi,"pest"
गन्ने की फसल में सिंचाई कैसे करें?,"गन्ना,सिंचाई",मिट्टी की नमी और फसल की अवस्था के अनुसार सिंचाई करें।,Sugarcane,Hindi,"irrigation"
आलू की फसल में झुलसा रोग कैसे रोकें?,"आलू,झुलसा",रोगमुक्त बीज का उपयोग करें और आवश्यकता होने पर अनुशंसित फफूंदनाशक का प्रयोग करें।,Potato,Hindi,"disease"
टमाटर के पौधों की देखभाल कैसे करें?,"टमाटर,देखभाल",समय पर सिंचाई, संतुलित पोषण और कीट-रोग की निगरानी करें।,Tomato,Hindi,"management"
प्याज की अच्छी उपज कैसे प्राप्त करें?,"प्याज,उपज",उन्नत बीज, संतुलित उर्वरक और उचित सिंचाई अपनाएँ।,Onion,Hindi,"yield"
सरसों में माहू का नियंत्रण कैसे करें?,"सरसों,माहू",नीम आधारित उत्पाद या कृषि विशेषज्ञ द्वारा अनुशंसित उपाय अपनाएँ।,Mustard,Hindi,"pest"
कपास में गुलाबी सुंडी से कैसे बचें?,"कपास,गुलाबी सुंडी",फेरोमोन ट्रैप और समेकित कीट प्रबंधन (IPM) अपनाएँ।,Cotton,Hindi,"IPM"
सोयाबीन की बुवाई कब करें?,"सोयाबीन,बुवाई",मानसून की शुरुआत के बाद उचित नमी होने पर बुवाई करें।,Soybean,Hindi,"sowing"
चना की फसल में उर्वरक कब डालें?,"चना,उर्वरक",मिट्टी परीक्षण के अनुसार बुवाई के समय उर्वरक दें।,Pulse,Hindi,"fertilizer"
केले की खेती के लिए कौन सी मिट्टी उपयुक्त है?,"केला,मिट्टी",अच्छी जल निकासी वाली दोमट मिट्टी उपयुक्त मानी जाती है।,Banana,Hindi,"soil"
आम में फूल झड़ने का कारण क्या है?,"आम,फूल",तापमान, पोषण की कमी या अन्य तनाव इसके कारण हो सकते हैं।,Mango,Hindi,"problem"
अमरूद की छंटाई क्यों जरूरी है?,"अमरूद,छंटाई",छंटाई से पौधे का आकार बेहतर रहता है और उत्पादन में मदद मिलती है।,Guava,Hindi,"management"
पपीते में वायरस रोग से कैसे बचें?,"पपीता,वायरस",स्वस्थ पौध सामग्री का उपयोग करें और रोगग्रस्त पौधों को हटाएँ।,Papaya,Hindi,"disease"
जैव उर्वरक के क्या लाभ हैं?,"जैव उर्वरक",जैव उर्वरक पोषक तत्वों की उपलब्धता बढ़ाने और मिट्टी की गुणवत्ता सुधारने में मदद करते हैं।,Fertilizer,Hindi,"organic"
