disease_class,crop,disease_name,symptoms,symptoms_hi,symptoms_hinglish,management,management_hi,management_hinglish,prevention,prevention_hi,prevention_hinglish,source
Apple___Apple_scab,Apple,Apple Scab,Olive green to brown irregular leaf spots that become dark brown or black. Fruit can develop raised corky spots and may become cracked or deformed.,"पत्तियों पर जैतूनी हरे से भूरे रंग के अनियमित धब्बे दिखाई देते हैं, जो बाद में गहरे भूरे या काले हो सकते हैं। फलों पर उभरे हुए कठोर धब्बे बन सकते हैं और फल फट या विकृत हो सकते हैं।","Leaves par olive-green se brown irregular spots dikh sakte hain, jo baad mein dark brown ya black ho sakte hain. Fruits par raised hard spots ban sakte hain aur fruit crack ya deform ho sakta hai.","Remove or properly decompose fallen infected leaves, maintain an open canopy for better airflow, and use disease-resistant varieties where available.","गिरी हुई संक्रमित पत्तियों को हटाएं या उचित तरीके से सड़ाकर नष्ट करें, बेहतर वायु संचार के लिए पेड़ की छतरी को खुला रखें और जहां उपलब्ध हो रोग-प्रतिरोधी किस्मों का उपयोग करें।","Giri hui infected leaves ko remove ya properly decompose karo, better airflow ke liye canopy ko open rakho aur available ho to disease-resistant varieties use karo.","Maintain orchard sanitation, prune for airflow, and monitor during wet periods.","बाग की स्वच्छता बनाए रखें, वायु संचार के लिए छंटाई करें और नमी वाले समय में फसल की निगरानी करें।","Orchard sanitation maintain karo, airflow ke liye pruning karo aur wet periods mein crop monitor karo.",University of Minnesota Extension
Apple___Black_rot,Apple,Black Rot,Round leaf spots with purple margins and tan centers. Fruit can develop brown rotting areas and may become mummified.,पत्तियों पर बैंगनी किनारों और हल्के भूरे केंद्र वाले गोल धब्बे दिखाई दे सकते हैं। फलों पर भूरे सड़न वाले हिस्से बन सकते हैं और फल सूखकर सिकुड़े हुए हो सकते हैं।,Leaves par purple margins aur tan centers wale round spots aa sakte hain. Fruits par brown rotting areas ban sakte hain aur fruit sookhkar mummified ho sakta hai.,"Remove infected plant material and mummified fruit, prune affected branches, and maintain good orchard sanitation.","संक्रमित पौधों के हिस्से और सूखे हुए फलों को हटाएं, प्रभावित शाखाओं की छंटाई करें और बाग की अच्छी स्वच्छता बनाए रखें।","Infected plant material aur mummified fruits remove karo, affected branches prune karo aur orchard sanitation maintain karo.","Reduce plant stress, remove dead or diseased wood, and maintain good canopy airflow.","पौधों पर तनाव कम रखें, मृत या रोगग्रस्त लकड़ी हटाएं और छतरी में अच्छा वायु संचार बनाए रखें।","Plant stress kam rakho, dead ya diseased wood remove karo aur canopy mein good airflow maintain karo.",University of Minnesota Extension
Apple___Cedar_apple_rust,Apple,Cedar-Apple Rust,"Yellow to bright orange leaf spots, often with a red border. Mature spots may develop dark dots or structures on the leaf surface.","पत्तियों पर पीले से चमकीले नारंगी धब्बे दिखाई दे सकते हैं, अक्सर लाल किनारे के साथ। पुराने धब्बों पर पत्ती की सतह पर गहरे बिंदु या संरचनाएं बन सकती हैं।","Leaves par yellow se bright orange spots aa sakte hain, aksar red border ke saath. Purane spots par leaf surface par dark dots ya structures ban sakte hain.",Remove infected plant material where practical and avoid planting susceptible apple trees close to cedar or juniper hosts.,जहां संभव हो संक्रमित पौधों के हिस्से हटाएं और संवेदनशील सेब के पेड़ों को देवदार या जुनिपर के मेजबान पौधों के पास लगाने से बचें।,Jahan possible ho infected plant material remove karo aur susceptible apple trees ko cedar ya juniper hosts ke paas lagane se bacho.,Use resistant varieties where available and maintain good orchard airflow.,जहां उपलब्ध हो रोग-प्रतिरोधी किस्मों का उपयोग करें और बाग में अच्छा वायु संचार बनाए रखें।,Available ho to resistant varieties use karo aur orchard mein good airflow maintain karo.,University of Minnesota Extension
Apple___healthy,Apple,Healthy,No obvious disease symptoms are detected in the image.,तस्वीर में बीमारी के कोई स्पष्ट लक्षण दिखाई नहीं दे रहे हैं।,Image mein disease ke koi obvious symptoms detect nahi ho rahe hain.,"Continue regular crop monitoring and maintain appropriate irrigation, nutrition, sanitation, and canopy management.","फसल की नियमित निगरानी जारी रखें और उचित सिंचाई, पोषण, स्वच्छता तथा छतरी प्रबंधन बनाए रखें।","Regular crop monitoring continue karo aur proper irrigation, nutrition, sanitation aur canopy management maintain karo.",Inspect plants regularly for early symptoms and maintain orchard hygiene.,"पौधों की नियमित जांच करें, शुरुआती लक्षणों पर ध्यान दें और बाग की स्वच्छता बनाए रखें।","Plants ko regularly inspect karo, early symptoms par dhyan do aur orchard hygiene maintain karo.",General crop-health guidance
Blueberry___healthy,Blueberry,Healthy,No obvious disease symptoms are detected in the image.,तस्वीर में बीमारी के कोई स्पष्ट लक्षण दिखाई नहीं दे रहे हैं।,Image mein disease ke koi obvious symptoms detect nahi ho rahe hain.,"Continue regular scouting and maintain appropriate soil moisture, nutrition, and plant hygiene.","नियमित निगरानी जारी रखें और उचित मिट्टी की नमी, पोषण तथा पौधों की स्वच्छता बनाए रखें।","Regular scouting continue karo aur proper soil moisture, nutrition aur plant hygiene maintain karo.",Remove obviously diseased plant material and maintain good airflow.,स्पष्ट रूप से रोगग्रस्त पौधों के हिस्से हटाएं और अच्छा वायु संचार बनाए रखें।,Clearly diseased plant material remove karo aur good airflow maintain karo.,General crop-health guidance
Cherry_(including_sour)___healthy,Cherry,Healthy,No obvious disease symptoms are detected in the image.,तस्वीर में बीमारी के कोई स्पष्ट लक्षण दिखाई नहीं दे रहे हैं।,Image mein disease ke koi obvious symptoms detect nahi ho rahe hain.,Continue regular monitoring and maintain balanced irrigation and nutrition.,नियमित निगरानी जारी रखें और संतुलित सिंचाई तथा पोषण बनाए रखें।,Regular monitoring continue karo aur balanced irrigation aur nutrition maintain karo.,Maintain orchard sanitation and good canopy airflow.,बाग की स्वच्छता और छतरी में अच्छा वायु संचार बनाए रखें।,Orchard sanitation aur canopy mein good airflow maintain karo.,General crop-health guidance
Cherry_(including_sour)___Powdery_mildew,Cherry,Powdery Mildew,White to gray powdery fungal growth may appear on young leaves and shoots. Leaves can curl or become distorted.,नई पत्तियों और टहनियों पर सफेद से धूसर पाउडर जैसी फफूंद दिखाई दे सकती है। पत्तियां मुड़ या विकृत हो सकती हैं।,Young leaves aur shoots par white se gray powdery fungal growth dikh sakti hai. Leaves curl ya distort ho sakti hain.,"Improve airflow, remove heavily affected plant material where practical, and follow locally approved disease-management guidance.","वायु संचार सुधारें, जहां संभव हो अधिक प्रभावित पौधों के हिस्से हटाएं और स्थानीय रूप से स्वीकृत रोग-प्रबंधन दिशानिर्देशों का पालन करें।","Airflow improve karo, jahan possible ho heavily affected plant material remove karo aur locally approved disease-management guidance follow karo.",Avoid excessive canopy density and monitor new growth regularly.,छतरी को बहुत घना न होने दें और नई वृद्धि की नियमित निगरानी करें।,Canopy ko excessively dense mat hone do aur new growth ko regularly monitor karo.,General plant pathology guidance
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn,Cercospora Leaf Spot / Gray Leaf Spot,Gray to brown elongated lesions develop on leaves and may expand along the leaf surface.,पत्तियों पर धूसर से भूरे रंग के लंबे धब्बे बनते हैं और वे पत्ती की सतह पर फैल सकते हैं।,Leaves par gray se brown elongated lesions develop hote hain aur leaf surface par spread ho sakte hain.,"Use resistant hybrids where available, maintain crop rotation, and manage crop residue appropriately.","जहां उपलब्ध हो रोग-प्रतिरोधी हाइब्रिड का उपयोग करें, फसल चक्र अपनाएं और फसल अवशेषों का उचित प्रबंधन करें।","Available ho to resistant hybrids use karo, crop rotation maintain karo aur crop residue ko properly manage karo.",Scout regularly and avoid practices that unnecessarily increase disease pressure.,नियमित निगरानी करें और ऐसी गतिविधियों से बचें जो अनावश्यक रूप से बीमारी का दबाव बढ़ाती हैं।,Regular scouting karo aur aise practices avoid karo jo unnecessary disease pressure badhayein.,General plant pathology guidance
Corn_(maize)___Common_rust_,Corn,Common Rust,Small reddish-brown rust-colored pustules can develop on corn leaves.,"मक्के की पत्तियों पर छोटे लाल-भूरे, जंग जैसे उभरे हुए धब्बे बन सकते हैं।",Corn leaves par small reddish-brown rust-colored pustules develop ho sakte hain.,Use resistant hybrids where available and monitor fields regularly.,जहां उपलब्ध हो रोग-प्रतिरोधी हाइब्रिड का उपयोग करें और खेतों की नियमित निगरानी करें।,Available ho to resistant hybrids use karo aur fields ko regularly monitor karo.,Early scouting helps identify increasing disease pressure.,शुरुआती निगरानी से बीमारी का दबाव बढ़ने पर समय पर पहचान करने में मदद मिलती है।,Early scouting se disease pressure badhne par problem ko jaldi identify karne mein help milti hai.,General plant pathology guidance
Corn_(maize)___Northern_Leaf_Blight,Corn,Northern Leaf Blight,Long gray-green to tan lesions develop on leaves and can enlarge substantially.,पत्तियों पर लंबे धूसर-हरे से भूरे धब्बे बनते हैं और वे काफी बड़े हो सकते हैं।,Leaves par long gray-green se tan lesions develop hote hain aur kaafi bade ho sakte hain.,"Use resistant hybrids, crop rotation, and appropriate residue management.","रोग-प्रतिरोधी हाइब्रिड, फसल चक्र और उचित फसल-अवशेष प्रबंधन अपनाएं।","Resistant hybrids, crop rotation aur proper residue management use karo.",Scout fields and maintain good crop-management practices.,खेतों की नियमित निगरानी करें और अच्छी फसल प्रबंधन पद्धतियां अपनाएं।,Fields ko regularly scout karo aur good crop-management practices maintain karo.,General plant pathology guidance
